Date,Price,,,,
Oct-21,0.7458,,,,
Sep-21,0.7226,,,,
Aug-21,0.7315,,,,
Jul-21,0.7344,,,,
Jun-21,0.7498,,,,
May-21,0.7734,,,,
Apr-21,0.7716,,,,
Mar-21,0.7596,,,,
Feb-21,0.7705,,,,
Jan-21,0.7642,,,,
Dec-20,0.7694,,,,
Nov-20,0.7345,,,,
Oct-20,0.7026,,,,
Sep-20,0.7161,,,,
Aug-20,0.7375,,,,
Jul-20,0.7142,,,,
Jun-20,0.6902,,,,
May-20,0.6666,,,,
Apr-20,0.651,,,,
Mar-20,0.6135,,,,
Feb-20,0.6509,,,,
Jan-20,0.6691,,,,
Dec-19,0.7021,,,,
Nov-19,0.6764,,,,
Oct-19,0.6893,,,,
Sep-19,0.6749,,,,
Aug-19,0.6736,,,,
Jul-19,0.6844,,,,
Jun-19,0.702,,,,
May-19,0.6938,,,,
Apr-19,0.7048,,,,
Mar-19,0.7094,,,,
Feb-19,0.7094,,,,
Jan-19,0.7272,,,,
Dec-18,0.7049,,,,
Nov-18,0.7315,,,,
Oct-18,0.7073,,,,
Sep-18,0.7228,,,,
Aug-18,0.719,,,,
Jul-18,0.7426,,,,
Jun-18,0.7402,,,,
May-18,0.7567,,,,
Apr-18,0.7531,,,,
Mar-18,0.7678,,,,
Feb-18,0.7761,,,,
Jan-18,0.8054,,,,
Dec-17,0.7801,,,,
Nov-17,0.7566,,,,
Oct-17,0.7655,,,,
Sep-17,0.7833,,,,
Aug-17,0.7946,,,,
Jul-17,0.8002,,,,
Jun-17,0.7686,,,,
May-17,0.7429,,,,
Apr-17,0.7484,,,,
Mar-17,0.7628,,,,
Feb-17,0.7657,,,,
Jan-17,0.7583,,,,
Dec-16,0.7215,,,,
Nov-16,0.7382,,,,
Oct-16,0.7609,,,,
Sep-16,0.7654,,,,
Aug-16,0.7514,,,,
Jul-16,0.7595,,,,
Jun-16,0.745,,,,
May-16,0.7229,,,,
Apr-16,0.7602,,,,
Mar-16,0.7654,,,,
Feb-16,0.7138,,,,
Jan-16,0.7082,,,,
Dec-15,0.7275,,,,
Nov-15,0.7226,,,,
Oct-15,0.7137,,,,
Sep-15,0.7017,,,,
Aug-15,0.711,,,,
Jul-15,0.7302,,,,
Jun-15,0.7704,,,,
May-15,0.7636,,,,
Apr-15,0.7897,,,,
Mar-15,0.7605,,,,
Feb-15,0.7809,,,,
Jan-15,0.7766,,,,
Dec-14,0.8168,,,,
Nov-14,0.8509,,,,
Oct-14,0.8794,,,,
Sep-14,0.8745,,,,
Aug-14,0.9333,,,,
Jul-14,0.9295,,,,
Jun-14,0.943,,,,
May-14,0.9309,,,,
Apr-14,0.9283,,,,
Mar-14,0.9262,,,,
Feb-14,0.8926,,,,
Jan-14,0.8753,,,,
Dec-13,0.8913,,,,
Nov-13,0.911,,,,
Oct-13,0.9458,,,,
Sep-13,0.9312,,,,
Aug-13,0.8896,,,,
Jul-13,0.898,,,,
Jun-13,0.9136,,,,
May-13,0.957,,,,
Apr-13,1.0369,,,,
Mar-13,1.0417,,,,
Feb-13,1.0212,,,,
Jan-13,1.0422,,,,
Dec-12,1.0393,,,,
Nov-12,1.0426,,,,
Oct-12,1.0373,,,,
Sep-12,1.0377,,,,
Aug-12,1.032,,,,
Jul-12,1.05,,,,
Jun-12,1.0233,,,,
May-12,0.9727,,,,
Apr-12,1.0423,,,,
Mar-12,1.0341,,,,
Feb-12,1.0729,,,,
Jan-12,1.0614,,,,
Dec-11,1.0225,,,,
Nov-11,1.0275,,,,
Oct-11,1.0535,,,,
Sep-11,0.9658,,,,
Aug-11,1.0701,,,,
Jul-11,1.0988,,,,
Jun-11,1.0717,,,,
May-11,1.0668,,,,
Apr-11,1.0965,,,,
Mar-11,1.0327,,,,
Feb-11,1.0183,,,,
Jan-11,0.9963,,,,
