Year and Month, Detached ,,
2011 Jan,526,,
2011 Feb,779,,
2011 Mar,827,,
2011 Apr,616,,
2011 May,731,,
2011 Jun,785,,
2011 Jul,789,,
2011 Aug,768,,
2011 Sep,804,,
2011 Oct,794,,
2011 Nov,818,,
2011 Dec,625,,
2012 Jan,451,,
2012 Feb,598,,
2012 Mar,809,,
2012 Apr,522,,
2012 May,855,,
2012 Jun,661,,
2012 Jul,957,,
2012 Aug,764,,
2012 Sep,809,,
2012 Oct,"1,054",,
2012 Nov,881,,
2012 Dec,763,,
2013 Jan,579,,
2013 Feb,904,,
2013 Mar,867,,
2013 Apr,791,,
2013 May,"1,066",,
2013 Jun,985,,
2013 Jul,"1,098",,
2013 Aug,924,,
2013 Sep,"1,191",,
2013 Oct,"1,141",,
2013 Nov,"1,104",,
2013 Dec,935,,
2014 Jan,919,,
2014 Feb,"1,113",,
2014 Mar,"1,123",,
2014 Apr,"1,010",,
2014 May,"1,149",,
2014 Jun,"1,036",,
2014 Jul,"1,353",,
2014 Aug,"1,194",,
2014 Sep,"1,208",,
2014 Oct,"1,473",,
2014 Nov,"1,209",,
2014 Dec,"1,099",,
2015 Jan,877,,
2015 Feb,"1,273",,
2015 Mar,"1,426",,
2015 Apr,"1,288",,
2015 May,"1,522",,
2015 Jun,"1,488",,
2015 Jul,"1,627",,
2015 Aug,"1,452",,
2015 Sep,"1,513",,
2015 Oct,"1,504",,
2015 Nov,"1,542",,
2015 Dec,"1,223",,
2016 Jan,927,,
2016 Feb,"1,313",,
2016 Mar,"1,493",,
2016 Apr,"1,458",,
2016 May,"1,828",,
2016 Jun,"1,418",,
2016 Jul,"1,554",,
2016 Aug,"1,639",,
2016 Sep,"1,557",,
2016 Oct,"1,539",,
2016 Nov,"1,639",,
2016 Dec,"1,347",,
2017 Jan,816,,
2017 Feb,"1,534",,
2017 Mar,"1,882",,
2017 Apr,"1,224",,
2017 May,"1,660",,
2017 Jun,"1,640",,
2017 Jul,"1,643",,
2017 Aug,"1,576",,
2017 Sep,"1,572",,
2017 Oct,"1,689",,
2017 Nov,"1,760",,
2017 Dec,"1,324",,
2018 Jan,"1,060",,
2018 Feb,"1,464",,
2018 Mar,"1,550",,
2018 Apr,"1,435",,
2018 May,"1,786",,
2018 Jun,"1,516",,
2018 Jul,"1,660",,
2018 Aug,"1,405",,
2018 Sep,"1,516",,
2018 Oct,"1,671",,
2018 Nov,"1,461",,
2018 Dec,"1,153",,
2019 Jan,"1,094",,
2019 Feb,"1,198",,
2019 Mar,"1,262",,
2019 Apr,983,,
2019 May,"1,358",,
2019 Jun,"1,218",,
2019 Jul,"1,565",,
2019 Aug,"1,159",,
2019 Sep,"1,075",,
2019 Oct,"1,086",,
2019 Nov,"1,137",,
2019 Dec,"1,090",,
2020 Jan,705,,
2020 Feb,"1,045",,
2020 Mar,"1,441",,
2020 Apr,"1,110",,
2020 May,"1,432",,
2020 Jun,"1,238",,
2020 Jul,"1,341",,
2020 Aug,"1,310",,
2020 Sep,"1,401",,
2020 Oct,"1,317",,
2020 Nov,"1,379",,
2020 Dec,"1,374",,
2021 Jan,941,,
2021 Feb,"1,333",,
2021 Mar,"1,539",,
2021 Apr,"1,620",,
2021 May,"1,861",,
2021 Jun,"1,367",,
